split,label,label_name,utterance,speaker,sentiment,dialogue_id,utterance_id,season,episode,start_time,end_time
train,0,neutral,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Chandler,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
train,0,neutral,You must’ve had your hands full.,The Interviewer,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
train,0,neutral,That I did. That I did.,Chandler,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
train,0,neutral,So let’s talk a little bit about your duties.,The Interviewer,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
train,5,surprise,My duties? All right.,Chandler,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
train,0,neutral,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",The Interviewer,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
train,0,neutral,I see.,Chandler,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
train,0,neutral,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
train,0,neutral,Good to know.,Chandler,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
train,0,neutral,We can go into detail,The Interviewer,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
train,4,fear,No don’t I beg of you!,Chandler,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
train,0,neutral,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
train,5,surprise,Really?!,Chandler,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
train,0,neutral,Absolutely. You can relax,The Interviewer,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
train,5,surprise,But then who? The waitress I went out with last month?,Joey,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
train,2,sadness,You know? Forget it!,Rachel,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
train,5,surprise,"No-no-no-no, no! Who, who were you talking about?",Joey,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
train,4,fear,"No, I-I-I-I don't, I actually don't know",Rachel,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
train,0,neutral,Ok!,Joey,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
train,0,neutral,"All right, well...",Joey,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
train,0,neutral,"Yeah, sure!",Rachel,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
train,0,neutral,"Hey, Mon.",Chandler,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
train,0,neutral,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
train,1,joy,Do I ever.,Chandler,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
train,2,sadness,Chris says they’re closing down the bar.,Monica,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
train,5,surprise,No way!,Chandler,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
train,0,neutral,"Yeah, apparently they’re turning it into some kinda coffee place.",Monica,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
train,6,disgust,Just coffee! Where are we gonna hang out now?,Chandler,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
train,2,sadness,Got me.,Monica,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
train,0,neutral,Can I get a beer.,Chandler,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
train,0,neutral,"Hey, did you pick a roommate?",Monica,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
train,1,joy,You betcha!,Chandler,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
train,0,neutral,Is it the Italian guy?,Monica,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
train,1,joy,"Um-mm, yeah right!",Chandler,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
train,5,surprise,"Oh my God, oh my God! Poor Monica!",Phoebe,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
train,5,surprise,"What, what, what?!",Chandler,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
train,5,surprise,What?!,Phoebe,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
train,0,neutral,He was with her when he wrote this poem.,Phoebe,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
train,0,neutral,"Look, 'My vessel so empty with nothing inside.",Phoebe,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
train,0,neutral,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
train,5,surprise,"He thinks Monica is empty, she is the empty vase!",Phoebe,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
train,2,sadness,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
train,0,neutral,Done.,Joey,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
train,5,surprise,Hey!,Rachel,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
train,1,joy,Hi!,Ross,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
train,5,surprise,What are you doing here?,Rachel,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
train,0,neutral,"Ah y'know, this building is on my paper route so I...",Ross,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
train,0,neutral,Oh.,Rachel,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
train,0,neutral,Hi.,Ross,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
train,0,neutral,Hi.,Rachel,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
train,0,neutral,How’d did it go?,Ross,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
train,1,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",Rachel,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
train,1,joy,I’m so proud of you.,Ross,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
train,1,joy,Me too!,Rachel,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
train,2,sadness,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",Ross,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
train,0,neutral,I know.,Rachel,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
train,0,neutral,Yeah.,Ross,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
train,0,neutral,Yeah.,Rachel,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
train,0,neutral,Ameri-can.,Phoebe,neutral,5,0,3,15,"0:22:18,545","0:22:20,297"
train,0,neutral,Ameri-ccan.,Joey,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
train,0,neutral,Ameri-can. Y'know it’s a,Phoebe,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
train,5,surprise,Everybody!!,Sergei,positive,5,3,3,15,"00:22:25,844","00:22:28,679"
train,1,joy,Good job Joe! Well done! Top notch!,Chandler,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
train,5,surprise,You liked it? You really liked it?,Joey,positive,6,1,8,22,"0:12:28,194","0:12:29,796"
train,1,joy,"Oh-ho-ho, yeah!",Chandler,positive,6,2,8,22,"0:12:29,796","0:12:31,501"
